.model,date,points,.mean
ARIMA(points ~ trend() + season()),11/27/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/28/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),11/29/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),11/30/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/1/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/2/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/3/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/4/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/5/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),12/6/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/7/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/8/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/9/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/10/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/11/2025,N(0.48, 11)
ARIMA(points ~ trend() + season()),12/12/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),12/13/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/14/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/15/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/16/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/17/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/18/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/19/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),12/20/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/21/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/22/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/23/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/24/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/25/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/26/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),12/27/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/28/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/29/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/30/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),12/31/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/1/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/2/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),1/3/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/4/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/5/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/6/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/7/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/8/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/9/2025,N(5.7, 11)
ARIMA(points ~ trend() + season()),1/10/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/11/2025,N(0.49, 11)
ARIMA(points ~ trend() + season()),1/12/2025,N(0.49, 11)
